,LATITUDE,LONGITUDE,DISCOVERY_DATE
323996,40.4789,-108.197,2007-08-22
324022,39.9761,-108.542,2007-09-04
324044,40.53,-107.8673,2008-06-22
324085,39.8814,-108.2451,2008-07-15
324090,40.48175,-108.18873,2008-07-19
324092,40.6125,-108.5187,2008-07-22
324097,40.7133,-108.6523,2008-07-22
324113,40.0958,-108.169,2008-07-26
324126,40.3844,-107.8004,2008-07-29
324130,40.1333,-108.7073,2008-08-01
324132,40.7172,-108.5754,2008-08-02
324134,40.1736,-109.004,2008-08-03
324135,40.13222,-109.0332,2008-08-05
324137,40.6391,-108.7071,2008-08-09
324146,40.653,-107.6006,2008-08-22
324147,40.6039,-108.4815,2008-08-24
324150,40.7861,-107.9967,2008-08-24
324153,40.6727,-107.9137,2008-08-24
324161,40.1136,-108.0329,2008-08-25
324187,40.7539,-107.6681,2008-10-01
324192,40.6889,-106.1692,2008-10-28
324195,40.0464,-107.8739,2008-10-31
324197,40.0331,-108.2608,2008-11-18
324204,40.0086,-108.2078,2009-05-14
324232,40.47594,-108.0837,2009-07-11
324240,40.0994,-108.4484,2009-07-13
324245,40.373,-107.7542,2009-07-14
324246,40.2191,-108.3381,2009-07-15
324247,40.1136,-108.3209,2009-07-18
324250,39.9805,-108.4384,2009-07-19
324251,40.46752,-108.10797,2009-07-19
324253,40.3972,-108.1337,2009-07-19
324282,40.0241,-108.5979,2009-07-28
324296,40.3983,-108.3143,2009-07-31
324298,40.51705,-108.46579,2009-07-31
324302,40.5361,-108.5307,2009-08-03
324325,40.6683,-108.584,2009-08-07
324326,40.1052,-108.1084,2009-08-07
324336,39.9755,-108.7757,2009-08-16
324337,40.0802,-108.119,2009-08-17
324339,40.1055,-107.964,2009-08-19
324343,40.628,-107.6356,2009-08-24
324350,40.8611,-107.629,2009-08-30
324352,40.5111,-107.6478,2009-09-02
324371,40.4452,-108.1348,2009-11-03
324372,39.6333,-106.795,2000-03-27
324374,38.7622,-108.8,2000-04-06
324376,39.6583,-107.7767,2000-04-07
324377,39.6055,-106.7173,2000-04-08
324378,39.8183,-107.0014,2000-04-09
324381,39.3853,-106.8147,2000-04-28
324384,39.9,-106.8673,2000-05-03
324385,39.4853,-107.5019,2000-05-04
324398,39.2833,-108.434,2000-05-31
324438,38.5667,-108.984,2000-07-03
324455,39.4333,-108.9173,2000-07-11
324466,39.4553,-107.5862,2000-07-24
324481,39.7,-106.835,2000-07-28
324522,39.5639,-107.3006,2000-08-15
324605,39.4028,-107.3951,2000-09-15
324638,38.4833,-108.9923,2001-06-09
324642,39.2486,-107.9426,2001-06-19
324662,39.4103,-107.8533,2001-07-01
324757,39.2761,-107.9973,2001-09-10
324772,39.6333,-108.6479,2001-10-03
324775,39.3308,-107.2075,2002-04-05
324777,39.5333,-108.4023,2002-04-16
324787,39.3191,-108.5687,2002-04-30
324819,39.7175,-106.6684,2002-06-08
324820,39.4694,-108.907,2002-06-08
324821,39.1822,-108.2814,2002-06-09
324822,38.9339,-108.9507,2002-06-09
324837,39.3141,-108.4459,2002-07-09
324854,39.4528,-107.1128,2002-07-31
324883,38.9658,-108.9968,2002-08-10
324994,39.5628,-108.4283,2003-07-08
324995,39.3739,-107.2958,2003-07-08
324996,39.6611,-107.0275,2003-07-11
324999,39.5147,-108.4714,2003-07-15
325010,38.5561,-109.0262,2003-07-17
325016,39.3939,-108.113,2003-07-18
325029,38.6817,-108.8801,2003-07-22
325031,39.5183,-107.3175,2003-07-22
325038,39.8239,-106.9442,2003-07-24
325039,39.5739,-106.925,2003-07-24
325083,39.3736,-108.075,2003-08-02
325090,39.2447,-108.4834,2003-08-05
325106,39.5314,-108.8404,2003-08-15
325142,39.4311,-107.5026,2003-09-14
325146,39.6408,-107.3867,2003-10-13
325150,39.2186,-106.9725,2003-10-30
325156,39.6583,-107.0339,2004-05-09
325203,38.6814,-108.9019,2004-06-20
325209,39.5433,-107.5569,2004-06-26
325226,39.5619,-108.6951,2004-07-02
325227,39.5725,-108.8626,2004-07-02
325250,39.518,-107.8211,2004-07-08
325266,39.3822,-108.1436,2004-07-17
325319,39.5194,-107.1655,2004-08-09
325333,39.2419,-108.3754,2004-09-03
325353,39.1728,-108.948,2005-05-27
325383,39.0978,-109.0425,2005-06-26
325411,39.1736,-108.5689,2005-07-05
325415,39.2122,-108.6514,2005-07-07
325433,39.15,-108.4083,2005-07-16
325439,39.5133,-107.5583,2005-07-22
325453,39.5694,-107.6069,2005-07-23
325459,39.2264,-108.2061,2005-07-29
325480,39.2011,-108.2839,2005-08-18
325502,39.0617,-108.3064,2005-08-31
325514,39.1867,-108.275,2005-09-14
325522,39.5583,-107.3117,2005-09-26
325553,38.8505,-108.5347,2006-06-11
325555,38.8283,-108.613,2006-06-12
325564,39.4083,-108.8122,2006-06-21
325565,39.8819,-107.5878,2006-06-21
325578,39.5922,-107.8278,2006-06-29
325579,39.1886,-108.4972,2006-06-29
325612,39.37651,-108.10897,2006-07-15
325639,39.4914,-107.8486,2006-07-24
325642,39.6708,-108.0797,2006-07-24
325700,39.2775,-108.3705,2006-08-26
325707,39.4839,-107.8622,2006-08-31
325728,39.2136,-108.5192,2006-09-14
325734,38.5708,-109.0292,2007-05-14
325737,39.1439,-109.0225,2007-05-19
325752,39.1767,-108.568,2007-06-03
325754,39.298,-108.2725,2007-06-04
325758,39.1978,-108.5144,2007-06-09
325760,39.1911,-108.2997,2007-06-17
325764,39.575,-107.4736,2007-06-18
325765,39.5136,-107.6328,2007-06-19
325766,39.2144,-108.9592,2007-06-19
325773,39.4822,-107.9278,2007-06-26
325789,39.4675,-107.9094,2007-07-06
325804,39.6005,-107.6633,2007-07-15
325818,39.3267,-108.1111,2007-07-19
325823,39.5769,-107.6303,2007-07-21
325825,38.9747,-108.5436,2007-07-21
325833,39.2414,-108.3555,2007-07-22
325861,39.2492,-108.94,2007-08-09
325881,39.5378,-108.7064,2007-08-25
325882,38.8858,-108.2933,2007-08-26
325883,39.5858,-107.4939,2007-08-26
325900,39.1897,-109.043,2007-09-08
325903,39.6011,-107.4833,2007-09-15
325920,39.4075,-107.153,2008-04-15
325923,39.188,-108.1105,2008-04-27
325936,39.0358,-108.3947,2008-06-23
325939,39.1764,-108.15,2008-06-24
325947,39.0917,-108.350186,2008-06-27
325948,39.6514,-107.8667,2008-06-29
325957,39.288,-108.1772,2008-07-02
325963,39.0486,-108.5783,2008-07-04
325968,39.1689,-108.5742,2008-07-05
325975,39.2683,-107.9933,2008-07-09
